Age,Age Group,Attrition,Attrition Flag,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,Income Group,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,Tenure Group,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
34,Mid-Career,No,0,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1,Female,53,3,3,Research Director,2,Single,11994,High Income,21293,0,Y,No,11,3,3,80,0,13,4,3,12,Veteran,6,2,11
21,Young,No,0,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,1232,Low Income,19281,1,Y,No,14,3,4,80,0,0,6,3,0,New Employee,0,0,0
34,Mid-Career,Yes,1,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,2,Male,83,3,1,Research Scientist,1,Single,2960,Low Income,17102,2,Y,No,11,3,3,80,0,8,2,3,4,Experienced,2,1,3
53,Senior,No,0,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,3,Female,58,3,5,Manager,3,Divorced,19094,High Income,10735,4,Y,No,11,3,4,80,1,26,3,2,14,Veteran,13,4,8
32,Mid-Career,Yes,1,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33,2,Female,72,1,1,Research Scientist,1,Single,3919,Low Income,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,Veteran,2,6,7
42,Mid-Career,No,0,Travel_Rarely,691,Sales,8,4,Marketing,1,35,3,Male,48,3,2,Sales Executive,2,Married,6825,Medium Income,21173,0,Y,No,11,3,4,80,1,10,2,3,9,Veteran,7,4,2
44,Mid-Career,No,0,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248,High Income,2094,3,Y,No,14,3,4,80,1,24,4,3,22,Veteran,6,5,17
46,Senior,No,0,Travel_Rarely,705,Sales,2,4,Marketing,1,38,2,Female,83,3,5,Manager,1,Single,18947,High Income,22822,3,Y,No,12,3,4,80,0,22,2,2,2,New Employee,2,2,1
33,Mid-Career,No,0,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,3,Male,78,3,1,Laboratory Technician,4,Single,2496,Low Income,6670,4,Y,No,11,3,4,80,0,7,3,3,1,New Employee,1,0,0
44,Mid-Career,No,0,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465,Medium Income,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,Experienced,2,1,3
30,Mid-Career,No,0,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206,Low Income,16117,1,Y,No,13,3,1,80,0,10,5,3,10,Veteran,0,1,8
39,Mid-Career,Yes,1,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,4,Male,56,3,2,Sales Representative,4,Married,2086,Low Income,3335,3,Y,No,14,3,3,80,1,19,6,4,1,New Employee,0,0,0
24,Young,Yes,1,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,Married,2293,Low Income,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,New Employee,0,2,0
43,Mid-Career,No,0,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,4,Female,72,4,1,Research Scientist,3,Divorced,2645,Low Income,21923,1,Y,No,12,3,4,80,2,6,3,2,5,Experienced,3,1,4
50,Senior,Yes,1,Travel_Rarely,869,Sales,3,2,Marketing,1,47,1,Male,86,2,1,Sales Representative,3,Married,2683,Low Income,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,Experienced,2,0,2
35,Mid-Career,No,0,Travel_Rarely,890,Sales,2,3,Marketing,1,49,4,Female,97,3,1,Sales Representative,4,Married,2014,Low Income,9687,1,Y,No,13,3,1,80,0,2,3,3,2,New Employee,2,2,2
36,Mid-Career,No,0,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,2,Female,82,2,1,Research Scientist,1,Married,3419,Low Income,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,New Employee,1,0,0
33,Mid-Career,No,0,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3,Female,42,4,2,Sales Executive,1,Married,5376,Medium Income,3193,2,Y,No,19,3,1,80,2,10,3,3,5,Experienced,3,1,3
35,Mid-Career,No,0,Travel_Rarely,464,Research & Development,4,2,Other,1,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,Low Income,10910,1,Y,No,12,3,3,80,1,1,3,3,1,New Employee,0,0,0
27,Young,No,0,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,Low Income,19715,1,Y,No,13,3,4,80,1,1,6,3,1,New Employee,0,0,0
26,Young,Yes,1,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293,Low Income,10558,1,Y,No,12,3,3,80,0,1,2,2,1,New Employee,0,0,1
27,Young,No,0,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,Male,37,3,3,Sales Executive,3,Single,8726,Medium Income,2975,1,Y,No,15,3,4,80,0,9,0,3,9,Veteran,8,1,7
30,Mid-Career,No,0,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011,Low Income,10781,1,Y,No,23,4,4,80,0,12,2,3,12,Veteran,8,3,7
41,Mid-Career,Yes,1,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,2,Female,49,3,5,Research Director,3,Married,19545,High Income,16280,1,Y,No,12,3,4,80,0,23,0,3,22,Veteran,15,15,8
34,Mid-Career,No,0,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,3,Single,4568,Low Income,10034,0,Y,No,20,4,3,80,0,10,2,3,9,Veteran,5,8,7
37,Mid-Career,No,0,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61,2,Male,73,3,1,Research Scientist,2,Married,3022,Low Income,10227,4,Y,No,21,4,1,80,0,8,1,3,1,New Employee,0,0,0
46,Senior,No,0,Travel_Frequently,1211,Sales,5,4,Marketing,1,62,1,Male,98,3,2,Sales Executive,4,Single,5772,Medium Income,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,Veteran,6,0,8
35,Mid-Career,No,0,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269,Low Income,4892,1,Y,No,19,3,4,80,0,1,2,3,1,New Employee,0,0,1
48,Senior,Yes,1,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64,1,Male,98,2,3,Laboratory Technician,3,Single,5381,Medium Income,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,New Employee,0,0,0
28,Young,Yes,1,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65,3,Male,50,3,1,Laboratory Technician,3,Single,3441,Low Income,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,New Employee,2,2,2
44,Mid-Career,No,0,Travel_Rarely,1488,Sales,1,5,Marketing,1,68,2,Female,75,3,2,Sales Executive,1,Divorced,5454,Medium Income,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,Experienced,3,1,3
35,Mid-Career,No,0,Non-Travel,1097,Research & Development,11,2,Medical,1,70,3,Male,79,2,3,Healthcare Representative,1,Married,9884,Medium Income,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,Experienced,0,2,3
26,Young,No,0,Travel_Rarely,1443,Sales,23,3,Marketing,1,72,3,Female,47,2,2,Sales Executive,4,Married,4157,Low Income,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,New Employee,2,0,0
33,Mid-Career,No,0,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73,1,Female,98,3,3,Research Director,4,Single,13458,High Income,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,Veteran,14,8,12
35,Mid-Career,No,0,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74,2,Male,71,3,3,Sales Executive,1,Married,9069,Medium Income,11031,1,Y,No,22,4,4,80,1,9,3,2,9,Veteran,8,1,8
35,Mid-Career,No,0,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75,3,Female,30,3,1,Laboratory Technician,1,Married,4014,Low Income,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,New Employee,2,2,2
31,Mid-Career,No,0,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,Medium Income,9528,3,Y,No,22,4,4,80,1,10,3,2,7,Experienced,7,1,7
37,Mid-Career,No,0,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,Medium Income,2689,1,Y,No,18,3,3,80,1,7,2,4,7,Experienced,5,0,7
32,Mid-Career,No,0,Travel_Rarely,427,Research & Development,1,3,Medical,1,78,1,Male,33,3,2,Manufacturing Director,4,Married,6162,Medium Income,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,Veteran,8,7,8
38,Mid-Career,No,0,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,79,4,Female,50,3,2,Laboratory Technician,4,Single,2406,Low Income,5456,1,Y,No,11,3,4,80,0,10,2,3,10,Veteran,3,9,9
50,Senior,No,0,Travel_Rarely,989,Research & Development,7,2,Medical,1,80,2,Female,43,2,5,Research Director,3,Divorced,18740,High Income,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,Veteran,3,13,8
59,Senior,No,0,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81,1,Female,99,3,3,Sales Executive,1,Single,7637,Medium Income,2354,7,Y,No,11,3,4,80,0,28,3,2,21,Veteran,16,7,9
36,Mid-Career,No,0,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,High Income,8202,1,Y,No,13,3,2,80,3,17,2,3,17,Veteran,14,12,8
55,Senior,No,0,Travel_Rarely,836,Research & Development,8,3,Medical,1,84,4,Female,33,3,4,Manager,3,Divorced,14756,High Income,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,Experienced,0,0,2
36,Mid-Career,No,0,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,85,2,Male,95,2,2,Manufacturing Director,2,Single,6499,Medium Income,22656,1,Y,No,13,3,3,80,0,6,3,3,6,Experienced,5,0,3
45,Mid-Career,No,0,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,86,2,Male,59,3,3,Research Scientist,1,Divorced,9724,Medium Income,18787,2,Y,No,17,3,3,80,1,25,2,3,1,New Employee,0,0,0
35,Mid-Career,No,0,Travel_Frequently,664,Research & Development,1,3,Medical,1,88,2,Male,79,3,1,Research Scientist,1,Married,2194,Low Income,5868,4,Y,No,13,3,4,80,1,5,2,2,3,Experienced,2,1,2
36,Mid-Career,Yes,1,Travel_Rarely,318,Research & Development,9,3,Medical,1,90,4,Male,79,2,1,Research Scientist,3,Married,3388,Low Income,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1,New Employee,0,0,0
59,Senior,No,0,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91,1,Female,57,2,2,Sales Executive,3,Single,5473,Medium Income,24668,7,Y,No,11,3,4,80,0,20,2,2,4,Experienced,3,1,3
29,Young,No,0,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,94,3,Male,76,3,1,Research Scientist,2,Married,2703,Low Income,4956,0,Y,No,23,4,4,80,1,6,3,3,5,Experienced,4,0,4
31,Mid-Career,No,0,Travel_Rarely,1082,Research & Development,1,4,Medical,1,95,3,Male,87,3,1,Research Scientist,2,Single,2501,Low Income,18775,1,Y,No,17,3,2,80,0,1,4,3,1,New Employee,1,1,0
32,Mid-Career,No,0,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,96,2,Male,66,3,2,Research Scientist,2,Married,6220,Medium Income,7346,1,Y,No,17,3,2,80,2,10,3,3,10,Veteran,4,0,9
36,Mid-Career,No,0,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,97,2,Female,55,4,1,Laboratory Technician,4,Married,3038,Low Income,22002,3,Y,No,12,3,2,80,0,5,3,3,1,New Employee,0,0,0
31,Mid-Career,No,0,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,98,3,Female,61,3,2,Manufacturing Director,4,Single,4424,Low Income,20682,1,Y,No,23,4,4,80,0,11,2,3,11,Veteran,7,1,8
35,Mid-Career,No,0,Travel_Rarely,776,Sales,1,4,Marketing,1,100,3,Male,32,2,2,Sales Executive,1,Single,4312,Low Income,23016,0,Y,No,14,3,2,80,0,16,2,3,15,Veteran,13,2,8
45,Mid-Career,No,0,Travel_Rarely,193,Research & Development,6,4,Other,1,101,4,Male,52,3,3,Research Director,1,Married,13245,High Income,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0,New Employee,0,0,0
37,Mid-Career,No,0,Travel_Rarely,397,Research & Development,7,4,Medical,1,102,1,Male,30,3,3,Research Director,3,Single,13664,High Income,25258,4,Y,No,13,3,1,80,0,16,3,4,5,Experienced,2,0,2
46,Senior,No,0,Travel_Rarely,945,Human Resources,5,2,Medical,1,103,2,Male,80,3,2,Human Resources,2,Divorced,5021,Medium Income,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,Experienced,2,0,2
30,Mid-Career,No,0,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,104,4,Male,55,2,2,Laboratory Technician,4,Married,5126,Medium Income,15998,1,Y,Yes,12,3,3,80,2,10,1,2,10,Veteran,8,3,0
35,Mid-Career,No,0,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105,2,Male,30,2,1,Research Scientist,3,Single,2859,Low Income,26278,1,Y,No,18,3,1,80,0,6,3,3,6,Experienced,4,0,4
55,Senior,No,0,Travel_Rarely,111,Sales,1,2,Life Sciences,1,106,1,Male,70,3,3,Sales Executive,4,Married,10239,High Income,18092,3,Y,No,14,3,4,80,1,24,4,3,1,New Employee,0,1,0
38,Mid-Career,No,0,Non-Travel,573,Research & Development,6,3,Medical,1,107,2,Female,79,1,2,Research Scientist,4,Divorced,5329,Medium Income,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,Veteran,11,1,9
34,Mid-Career,No,0,Travel_Rarely,1153,Research & Development,1,2,Medical,1,110,1,Male,94,3,2,Manufacturing Director,2,Married,4325,Low Income,17736,1,Y,No,15,3,3,80,0,5,2,3,5,Experienced,2,1,3
56,Senior,No,0,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,112,4,Male,49,1,3,Manufacturing Director,4,Single,7260,Medium Income,21698,4,Y,No,11,3,1,80,0,37,3,2,6,Experienced,4,0,2
23,Young,No,0,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322,Low Income,9518,3,Y,No,13,3,3,80,1,3,3,3,0,New Employee,0,0,0
51,Senior,No,0,Travel_Rarely,432,Research & Development,9,4,Life Sciences,1,116,4,Male,96,3,1,Laboratory Technician,4,Married,2075,Low Income,18725,3,Y,No,23,4,2,80,2,10,4,3,4,Experienced,2,0,3
30,Mid-Career,No,0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,117,3,Male,99,2,2,Healthcare Representative,4,Married,4152,Low Income,15830,1,Y,No,19,3,1,80,3,11,3,3,11,Veteran,10,10,8
46,Senior,Yes,1,Travel_Rarely,669,Sales,9,2,Medical,1,118,3,Male,64,2,3,Sales Executive,4,Single,9619,Medium Income,13596,1,Y,No,16,3,4,80,0,9,3,3,9,Veteran,8,4,7
40,Mid-Career,No,0,Travel_Frequently,530,Research & Development,1,4,Life Sciences,1,119,3,Male,78,2,4,Healthcare Representative,2,Married,13503,High Income,14115,1,Y,No,22,4,4,80,1,22,3,2,22,Veteran,3,11,11
51,Senior,No,0,Travel_Rarely,632,Sales,21,4,Marketing,1,120,3,Male,71,3,2,Sales Executive,4,Single,5441,Medium Income,8423,0,Y,Yes,22,4,4,80,0,11,2,1,10,Veteran,7,1,0
30,Mid-Career,No,0,Travel_Rarely,1334,Sales,4,2,Medical,1,121,3,Female,63,2,2,Sales Executive,2,Divorced,5209,Medium Income,19760,1,Y,Yes,12,3,2,80,3,11,4,2,11,Veteran,8,2,7
46,Senior,No,0,Travel_Frequently,638,Research & Development,1,3,Medical,1,124,3,Male,40,2,3,Healthcare Representative,1,Married,10673,High Income,3142,2,Y,Yes,13,3,3,80,1,21,5,2,10,Veteran,9,9,5
32,Mid-Career,No,0,Travel_Rarely,1093,Sales,6,4,Medical,1,125,2,Male,87,3,2,Sales Executive,3,Single,5010,Medium Income,24301,1,Y,No,16,3,1,80,0,12,0,3,11,Veteran,8,5,7
54,Senior,No,0,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,126,1,Female,60,3,3,Research Director,3,Married,13549,High Income,24001,9,Y,No,12,3,1,80,1,16,5,1,4,Experienced,3,0,3
24,Young,No,0,Travel_Rarely,1353,Sales,3,2,Other,1,128,1,Female,33,3,2,Sales Executive,3,Married,4999,Low Income,17519,0,Y,No,21,4,1,80,1,4,2,2,3,Experienced,2,0,2
28,Young,No,0,Non-Travel,120,Sales,4,3,Medical,1,129,2,Male,43,3,2,Sales Executive,3,Married,4221,Low Income,8863,1,Y,No,15,3,2,80,0,5,3,4,5,Experienced,4,0,4
58,Senior,No,0,Travel_Rarely,682,Sales,10,4,Medical,1,131,4,Male,37,3,4,Sales Executive,3,Single,13872,High Income,24409,0,Y,No,13,3,3,80,0,38,1,2,37,Veteran,10,1,8
44,Mid-Career,No,0,Non-Travel,489,Research & Development,23,3,Medical,1,132,2,Male,67,3,2,Laboratory Technician,2,Married,2042,Low Income,25043,4,Y,No,12,3,3,80,1,17,3,4,3,Experienced,2,1,2
37,Mid-Career,Yes,1,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,133,3,Male,63,3,1,Human Resources,1,Divorced,2073,Low Income,23648,4,Y,Yes,22,4,4,80,0,7,3,3,3,Experienced,2,0,2
32,Mid-Career,No,0,Travel_Rarely,827,Research & Development,1,1,Life Sciences,1,134,4,Male,71,3,1,Research Scientist,1,Single,2956,Low Income,15178,1,Y,No,13,3,4,80,0,1,2,3,1,New Employee,0,0,0
20,Young,Yes,1,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,137,4,Female,66,2,1,Laboratory Technician,4,Single,2926,Low Income,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1,New Employee,0,1,0
34,Mid-Career,No,0,Travel_Rarely,665,Research & Development,6,4,Other,1,138,1,Female,41,3,2,Research Scientist,3,Single,4809,Low Income,12482,1,Y,No,14,3,3,80,0,16,3,3,16,Veteran,13,2,10
37,Mid-Career,No,0,Non-Travel,1040,Research & Development,2,2,Life Sciences,1,139,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163,Medium Income,15850,5,Y,No,14,3,4,80,1,17,2,4,1,New Employee,0,0,0
59,Senior,No,0,Non-Travel,1420,Human Resources,2,4,Human Resources,1,140,3,Female,32,2,5,Manager,4,Married,18844,High Income,21922,9,Y,No,21,4,4,80,1,30,3,3,3,Experienced,2,2,2
50,Senior,No,0,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,141,1,Female,73,3,5,Research Director,2,Married,18172,High Income,9755,3,Y,Yes,19,3,1,80,0,28,1,2,8,Veteran,3,0,7
25,Young,Yes,1,Travel_Rarely,240,Sales,5,3,Marketing,1,142,3,Male,46,2,2,Sales Executive,3,Single,5744,Medium Income,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6,Experienced,4,0,3
25,Young,No,0,Travel_Rarely,1280,Research & Development,7,1,Medical,1,143,4,Male,64,2,1,Research Scientist,4,Married,2889,Low Income,26897,1,Y,No,11,3,3,80,2,2,2,3,2,New Employee,2,2,1
22,Young,No,0,Travel_Rarely,534,Research & Development,15,3,Medical,1,144,2,Female,59,3,1,Laboratory Technician,4,Single,2871,Low Income,23785,1,Y,No,15,3,3,80,0,1,5,3,0,New Employee,0,0,0
51,Senior,No,0,Travel_Frequently,1456,Research & Development,1,4,Medical,1,145,1,Female,30,2,3,Healthcare Representative,1,Single,7484,Medium Income,25796,3,Y,No,20,4,3,80,0,23,1,2,13,Veteran,12,12,8
34,Mid-Career,Yes,1,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,147,1,Male,66,1,2,Laboratory Technician,3,Single,6074,Medium Income,22887,1,Y,Yes,24,4,4,80,0,9,3,3,9,Veteran,7,0,6
54,Senior,No,0,Non-Travel,142,Human Resources,26,3,Human Resources,1,148,4,Female,30,4,4,Manager,4,Single,17328,High Income,13871,2,Y,Yes,12,3,3,80,0,23,3,3,5,Experienced,3,4,4
24,Young,No,0,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,1,150,2,Male,52,3,1,Laboratory Technician,3,Married,2774,Low Income,13257,0,Y,No,12,3,3,80,1,6,2,3,5,Experienced,3,1,2
34,Mid-Career,No,0,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,1,151,3,Female,45,2,2,Research Scientist,2,Divorced,4505,Low Income,15000,6,Y,No,15,3,3,80,1,12,3,3,1,New Employee,0,0,0
37,Mid-Career,No,0,Travel_Rarely,1189,Sales,3,3,Life Sciences,1,152,3,Male,87,3,3,Sales Executive,4,Single,7428,Medium Income,14506,2,Y,No,12,3,1,80,0,12,3,3,5,Experienced,3,1,3
34,Mid-Career,No,0,Travel_Rarely,1354,Research & Development,5,3,Medical,1,153,3,Female,45,2,3,Manager,1,Single,11631,High Income,5615,2,Y,No,12,3,4,80,0,14,6,3,11,Veteran,10,5,8
